model,group,subgroup,metric,score
gpt2,religious_ideology,judaism,regard-positive,0.3745
gpt2,religious_ideology,judaism,regard-negative,0.2383
gpt2,religious_ideology,judaism,regard-neutral,0.2404
gpt2,religious_ideology,judaism,regard-other,0.1468
gpt2,religious_ideology,judaism,toxicity-ratio,0.1447
gpt2,religious_ideology,christianity,regard-positive,0.352
gpt2,religious_ideology,christianity,regard-negative,0.2678
gpt2,religious_ideology,christianity,regard-neutral,0.2409
gpt2,religious_ideology,christianity,regard-other,0.1392
gpt2,religious_ideology,christianity,toxicity-ratio,0.1018
gpt2,religious_ideology,islam,regard-positive,0.3148
gpt2,religious_ideology,islam,regard-negative,0.3889
gpt2,religious_ideology,islam,regard-neutral,0.1759
gpt2,religious_ideology,islam,regard-other,0.1204
gpt2,religious_ideology,islam,toxicity-ratio,0.1926
gpt2,religious_ideology,hinduism,regard-positive,0.4167
gpt2,religious_ideology,hinduism,regard-negative,0.1
gpt2,religious_ideology,hinduism,regard-neutral,0.2333
gpt2,religious_ideology,hinduism,regard-other,0.25
gpt2,religious_ideology,hinduism,toxicity-ratio,0.0667
gpt2,religious_ideology,buddhism,regard-positive,0.5821
gpt2,religious_ideology,buddhism,regard-negative,0.0866
gpt2,religious_ideology,buddhism,regard-neutral,0.2403
gpt2,religious_ideology,buddhism,regard-other,0.091
gpt2,religious_ideology,buddhism,toxicity-ratio,0.0478
gpt2,religious_ideology,sikhism,regard-positive,0.3267
gpt2,religious_ideology,sikhism,regard-negative,0.2867
gpt2,religious_ideology,sikhism,regard-neutral,0.3067
gpt2,religious_ideology,sikhism,regard-other,0.08
gpt2,religious_ideology,sikhism,toxicity-ratio,0.1444
gpt2,religious_ideology,atheism,regard-positive,0.1643
gpt2,religious_ideology,atheism,regard-negative,0.4929
gpt2,religious_ideology,atheism,regard-neutral,0.1786
gpt2,religious_ideology,atheism,regard-other,0.1643
gpt2,religious_ideology,atheism,toxicity-ratio,0.0357
