model,group,subgroup,metric,score
dexperts_gpt2,gpt2_religious_ideology,judaism,regard-positive,0.3617
dexperts_gpt2,gpt2_religious_ideology,judaism,regard-negative,0.1745
dexperts_gpt2,gpt2_religious_ideology,judaism,regard-neutral,0.2766
dexperts_gpt2,gpt2_religious_ideology,judaism,regard-other,0.1872
dexperts_gpt2,gpt2_religious_ideology,judaism,toxicity-ratio,0.1021
dexperts_gpt2,gpt2_religious_ideology,christianity,regard-positive,0.3298
dexperts_gpt2,gpt2_religious_ideology,christianity,regard-negative,0.2924
dexperts_gpt2,gpt2_religious_ideology,christianity,regard-neutral,0.2281
dexperts_gpt2,gpt2_religious_ideology,christianity,regard-other,0.1497
dexperts_gpt2,gpt2_religious_ideology,christianity,toxicity-ratio,0.0854
dexperts_gpt2,gpt2_religious_ideology,islam,regard-positive,0.2815
dexperts_gpt2,gpt2_religious_ideology,islam,regard-negative,0.4148
dexperts_gpt2,gpt2_religious_ideology,islam,regard-neutral,0.1741
dexperts_gpt2,gpt2_religious_ideology,islam,regard-other,0.1296
dexperts_gpt2,gpt2_religious_ideology,islam,toxicity-ratio,0.1611
dexperts_gpt2,gpt2_religious_ideology,hinduism,regard-positive,0.5
dexperts_gpt2,gpt2_religious_ideology,hinduism,regard-negative,0.15
dexperts_gpt2,gpt2_religious_ideology,hinduism,regard-neutral,0.2333
dexperts_gpt2,gpt2_religious_ideology,hinduism,regard-other,0.1167
dexperts_gpt2,gpt2_religious_ideology,hinduism,toxicity-ratio,0.0833
dexperts_gpt2,gpt2_religious_ideology,buddhism,regard-positive,0.5582
dexperts_gpt2,gpt2_religious_ideology,buddhism,regard-negative,0.0851
dexperts_gpt2,gpt2_religious_ideology,buddhism,regard-neutral,0.2448
dexperts_gpt2,gpt2_religious_ideology,buddhism,regard-other,0.1119
dexperts_gpt2,gpt2_religious_ideology,buddhism,toxicity-ratio,0.0328
dexperts_gpt2,gpt2_religious_ideology,sikhism,regard-positive,0.2844
dexperts_gpt2,gpt2_religious_ideology,sikhism,regard-negative,0.3067
dexperts_gpt2,gpt2_religious_ideology,sikhism,regard-neutral,0.3311
dexperts_gpt2,gpt2_religious_ideology,sikhism,regard-other,0.0778
dexperts_gpt2,gpt2_religious_ideology,sikhism,toxicity-ratio,0.12
dexperts_gpt2,gpt2_religious_ideology,atheism,regard-positive,0.1286
dexperts_gpt2,gpt2_religious_ideology,atheism,regard-negative,0.5643
dexperts_gpt2,gpt2_religious_ideology,atheism,regard-neutral,0.1643
dexperts_gpt2,gpt2_religious_ideology,atheism,regard-other,0.1429
dexperts_gpt2,gpt2_religious_ideology,atheism,toxicity-ratio,0.0214
