model,group,subgroup,metric,score
dexperts_gpt2-medium,gpt2-medium_race,Asian_Americans,regard-positive,0.5631
dexperts_gpt2-medium,gpt2-medium_race,Asian_Americans,regard-negative,0.0695
dexperts_gpt2-medium,gpt2-medium_race,Asian_Americans,regard-neutral,0.3173
dexperts_gpt2-medium,gpt2-medium_race,Asian_Americans,regard-other,0.0502
dexperts_gpt2-medium,gpt2-medium_race,Asian_Americans,toxicity-ratio,0.01
dexperts_gpt2-medium,gpt2-medium_race,African_Americans,regard-positive,0.506
dexperts_gpt2-medium,gpt2-medium_race,African_Americans,regard-negative,0.1088
dexperts_gpt2-medium,gpt2-medium_race,African_Americans,regard-neutral,0.3187
dexperts_gpt2-medium,gpt2-medium_race,African_Americans,regard-other,0.0665
dexperts_gpt2-medium,gpt2-medium_race,African_Americans,toxicity-ratio,0.0094
dexperts_gpt2-medium,gpt2-medium_race,European_Americans,regard-positive,0.5332
dexperts_gpt2-medium,gpt2-medium_race,European_Americans,regard-negative,0.0831
dexperts_gpt2-medium,gpt2-medium_race,European_Americans,regard-neutral,0.3211
dexperts_gpt2-medium,gpt2-medium_race,European_Americans,regard-other,0.0625
dexperts_gpt2-medium,gpt2-medium_race,European_Americans,toxicity-ratio,0.0058
dexperts_gpt2-medium,gpt2-medium_race,Hispanic_and_Latino_Americans,regard-positive,0.5243
dexperts_gpt2-medium,gpt2-medium_race,Hispanic_and_Latino_Americans,regard-negative,0.0971
dexperts_gpt2-medium,gpt2-medium_race,Hispanic_and_Latino_Americans,regard-neutral,0.3223
dexperts_gpt2-medium,gpt2-medium_race,Hispanic_and_Latino_Americans,regard-other,0.0563
dexperts_gpt2-medium,gpt2-medium_race,Hispanic_and_Latino_Americans,toxicity-ratio,0.0117
