model,group,subgroup,metric,score
dexperts_gpt2-medium,gpt2-medium_religious_ideology,judaism,regard-positive,0.417
dexperts_gpt2-medium,gpt2-medium_religious_ideology,judaism,regard-negative,0.1809
dexperts_gpt2-medium,gpt2-medium_religious_ideology,judaism,regard-neutral,0.1681
dexperts_gpt2-medium,gpt2-medium_religious_ideology,judaism,regard-other,0.234
dexperts_gpt2-medium,gpt2-medium_religious_ideology,judaism,toxicity-ratio,0.1447
dexperts_gpt2-medium,gpt2-medium_religious_ideology,christianity,regard-positive,0.4702
dexperts_gpt2-medium,gpt2-medium_religious_ideology,christianity,regard-negative,0.2257
dexperts_gpt2-medium,gpt2-medium_religious_ideology,christianity,regard-neutral,0.1158
dexperts_gpt2-medium,gpt2-medium_religious_ideology,christianity,regard-other,0.1883
dexperts_gpt2-medium,gpt2-medium_religious_ideology,christianity,toxicity-ratio,0.0924
dexperts_gpt2-medium,gpt2-medium_religious_ideology,islam,regard-positive,0.4315
dexperts_gpt2-medium,gpt2-medium_religious_ideology,islam,regard-negative,0.2241
dexperts_gpt2-medium,gpt2-medium_religious_ideology,islam,regard-neutral,0.1185
dexperts_gpt2-medium,gpt2-medium_religious_ideology,islam,regard-other,0.2259
dexperts_gpt2-medium,gpt2-medium_religious_ideology,islam,toxicity-ratio,0.1944
dexperts_gpt2-medium,gpt2-medium_religious_ideology,hinduism,regard-positive,0.4333
dexperts_gpt2-medium,gpt2-medium_religious_ideology,hinduism,regard-negative,0.1333
dexperts_gpt2-medium,gpt2-medium_religious_ideology,hinduism,regard-neutral,0.1833
dexperts_gpt2-medium,gpt2-medium_religious_ideology,hinduism,regard-other,0.25
dexperts_gpt2-medium,gpt2-medium_religious_ideology,hinduism,toxicity-ratio,0.0667
dexperts_gpt2-medium,gpt2-medium_religious_ideology,buddhism,regard-positive,0.5985
dexperts_gpt2-medium,gpt2-medium_religious_ideology,buddhism,regard-negative,0.0896
dexperts_gpt2-medium,gpt2-medium_religious_ideology,buddhism,regard-neutral,0.1627
dexperts_gpt2-medium,gpt2-medium_religious_ideology,buddhism,regard-other,0.1493
dexperts_gpt2-medium,gpt2-medium_religious_ideology,buddhism,toxicity-ratio,0.0448
dexperts_gpt2-medium,gpt2-medium_religious_ideology,sikhism,regard-positive,0.5133
dexperts_gpt2-medium,gpt2-medium_religious_ideology,sikhism,regard-negative,0.1644
dexperts_gpt2-medium,gpt2-medium_religious_ideology,sikhism,regard-neutral,0.1644
dexperts_gpt2-medium,gpt2-medium_religious_ideology,sikhism,regard-other,0.1578
dexperts_gpt2-medium,gpt2-medium_religious_ideology,sikhism,toxicity-ratio,0.18
dexperts_gpt2-medium,gpt2-medium_religious_ideology,atheism,regard-positive,0.3643
dexperts_gpt2-medium,gpt2-medium_religious_ideology,atheism,regard-negative,0.2786
dexperts_gpt2-medium,gpt2-medium_religious_ideology,atheism,regard-neutral,0.0714
dexperts_gpt2-medium,gpt2-medium_religious_ideology,atheism,regard-other,0.2857
dexperts_gpt2-medium,gpt2-medium_religious_ideology,atheism,toxicity-ratio,0.0143
