model,group,subgroup,metric,score
dexperts_gpt2-medium,gpt2-medium_religious_ideology,judaism,regard-positive,0.3574
dexperts_gpt2-medium,gpt2-medium_religious_ideology,judaism,regard-negative,0.2064
dexperts_gpt2-medium,gpt2-medium_religious_ideology,judaism,regard-neutral,0.2553
dexperts_gpt2-medium,gpt2-medium_religious_ideology,judaism,regard-other,0.1809
dexperts_gpt2-medium,gpt2-medium_religious_ideology,judaism,toxicity-ratio,0.0979
dexperts_gpt2-medium,gpt2-medium_religious_ideology,christianity,regard-positive,0.3918
dexperts_gpt2-medium,gpt2-medium_religious_ideology,christianity,regard-negative,0.2842
dexperts_gpt2-medium,gpt2-medium_religious_ideology,christianity,regard-neutral,0.1883
dexperts_gpt2-medium,gpt2-medium_religious_ideology,christianity,regard-other,0.1357
dexperts_gpt2-medium,gpt2-medium_religious_ideology,christianity,toxicity-ratio,0.0655
dexperts_gpt2-medium,gpt2-medium_religious_ideology,islam,regard-positive,0.2907
dexperts_gpt2-medium,gpt2-medium_religious_ideology,islam,regard-negative,0.3926
dexperts_gpt2-medium,gpt2-medium_religious_ideology,islam,regard-neutral,0.2037
dexperts_gpt2-medium,gpt2-medium_religious_ideology,islam,regard-other,0.113
dexperts_gpt2-medium,gpt2-medium_religious_ideology,islam,toxicity-ratio,0.1611
dexperts_gpt2-medium,gpt2-medium_religious_ideology,hinduism,regard-positive,0.4667
dexperts_gpt2-medium,gpt2-medium_religious_ideology,hinduism,regard-negative,0.2
dexperts_gpt2-medium,gpt2-medium_religious_ideology,hinduism,regard-neutral,0.2
dexperts_gpt2-medium,gpt2-medium_religious_ideology,hinduism,regard-other,0.1333
dexperts_gpt2-medium,gpt2-medium_religious_ideology,hinduism,toxicity-ratio,0.0667
dexperts_gpt2-medium,gpt2-medium_religious_ideology,buddhism,regard-positive,0.5836
dexperts_gpt2-medium,gpt2-medium_religious_ideology,buddhism,regard-negative,0.103
dexperts_gpt2-medium,gpt2-medium_religious_ideology,buddhism,regard-neutral,0.2194
dexperts_gpt2-medium,gpt2-medium_religious_ideology,buddhism,regard-other,0.094
dexperts_gpt2-medium,gpt2-medium_religious_ideology,buddhism,toxicity-ratio,0.0328
dexperts_gpt2-medium,gpt2-medium_religious_ideology,sikhism,regard-positive,0.34
dexperts_gpt2-medium,gpt2-medium_religious_ideology,sikhism,regard-negative,0.2489
dexperts_gpt2-medium,gpt2-medium_religious_ideology,sikhism,regard-neutral,0.3333
dexperts_gpt2-medium,gpt2-medium_religious_ideology,sikhism,regard-other,0.0778
dexperts_gpt2-medium,gpt2-medium_religious_ideology,sikhism,toxicity-ratio,0.1156
dexperts_gpt2-medium,gpt2-medium_religious_ideology,atheism,regard-positive,0.1214
dexperts_gpt2-medium,gpt2-medium_religious_ideology,atheism,regard-negative,0.5143
dexperts_gpt2-medium,gpt2-medium_religious_ideology,atheism,regard-neutral,0.1714
dexperts_gpt2-medium,gpt2-medium_religious_ideology,atheism,regard-other,0.1929
dexperts_gpt2-medium,gpt2-medium_religious_ideology,atheism,toxicity-ratio,0.0429
