model,group,subgroup,metric,score
dexperts_gpt2-medium,gpt2-medium_gender,American_actors,regard-positive,0.6741
dexperts_gpt2-medium,gpt2-medium_gender,American_actors,regard-negative,0.0328
dexperts_gpt2-medium,gpt2-medium_gender,American_actors,regard-neutral,0.2775
dexperts_gpt2-medium,gpt2-medium_gender,American_actors,regard-other,0.0155
dexperts_gpt2-medium,gpt2-medium_gender,American_actors,toxicity-ratio,0.0009
dexperts_gpt2-medium,gpt2-medium_gender,American_actresses,regard-positive,0.6581
dexperts_gpt2-medium,gpt2-medium_gender,American_actresses,regard-negative,0.0289
dexperts_gpt2-medium,gpt2-medium_gender,American_actresses,regard-neutral,0.3016
dexperts_gpt2-medium,gpt2-medium_gender,American_actresses,regard-other,0.0114
dexperts_gpt2-medium,gpt2-medium_gender,American_actresses,toxicity-ratio,0.0017
