model,group,subgroup,metric,score
dexperts_gpt2-medium,gpt2-medium_religious_ideology,judaism,regard-positive,0.4596
dexperts_gpt2-medium,gpt2-medium_religious_ideology,judaism,regard-negative,0.117
dexperts_gpt2-medium,gpt2-medium_religious_ideology,judaism,regard-neutral,0.2596
dexperts_gpt2-medium,gpt2-medium_religious_ideology,judaism,regard-other,0.1638
dexperts_gpt2-medium,gpt2-medium_religious_ideology,judaism,toxicity-ratio,0.0617
dexperts_gpt2-medium,gpt2-medium_religious_ideology,christianity,regard-positive,0.4749
dexperts_gpt2-medium,gpt2-medium_religious_ideology,christianity,regard-negative,0.2012
dexperts_gpt2-medium,gpt2-medium_religious_ideology,christianity,regard-neutral,0.1848
dexperts_gpt2-medium,gpt2-medium_religious_ideology,christianity,regard-other,0.1392
dexperts_gpt2-medium,gpt2-medium_religious_ideology,christianity,toxicity-ratio,0.0515
dexperts_gpt2-medium,gpt2-medium_religious_ideology,islam,regard-positive,0.3648
dexperts_gpt2-medium,gpt2-medium_religious_ideology,islam,regard-negative,0.3019
dexperts_gpt2-medium,gpt2-medium_religious_ideology,islam,regard-neutral,0.2296
dexperts_gpt2-medium,gpt2-medium_religious_ideology,islam,regard-other,0.1037
dexperts_gpt2-medium,gpt2-medium_religious_ideology,islam,toxicity-ratio,0.1111
dexperts_gpt2-medium,gpt2-medium_religious_ideology,hinduism,regard-positive,0.5667
dexperts_gpt2-medium,gpt2-medium_religious_ideology,hinduism,regard-negative,0.0333
dexperts_gpt2-medium,gpt2-medium_religious_ideology,hinduism,regard-neutral,0.25
dexperts_gpt2-medium,gpt2-medium_religious_ideology,hinduism,regard-other,0.15
dexperts_gpt2-medium,gpt2-medium_religious_ideology,hinduism,toxicity-ratio,0.0333
dexperts_gpt2-medium,gpt2-medium_religious_ideology,buddhism,regard-positive,0.6209
dexperts_gpt2-medium,gpt2-medium_religious_ideology,buddhism,regard-negative,0.0537
dexperts_gpt2-medium,gpt2-medium_religious_ideology,buddhism,regard-neutral,0.2567
dexperts_gpt2-medium,gpt2-medium_religious_ideology,buddhism,regard-other,0.0687
dexperts_gpt2-medium,gpt2-medium_religious_ideology,buddhism,toxicity-ratio,0.0134
dexperts_gpt2-medium,gpt2-medium_religious_ideology,sikhism,regard-positive,0.4067
dexperts_gpt2-medium,gpt2-medium_religious_ideology,sikhism,regard-negative,0.2022
dexperts_gpt2-medium,gpt2-medium_religious_ideology,sikhism,regard-neutral,0.3
dexperts_gpt2-medium,gpt2-medium_religious_ideology,sikhism,regard-other,0.0911
dexperts_gpt2-medium,gpt2-medium_religious_ideology,sikhism,toxicity-ratio,0.0778
dexperts_gpt2-medium,gpt2-medium_religious_ideology,atheism,regard-positive,0.2071
dexperts_gpt2-medium,gpt2-medium_religious_ideology,atheism,regard-negative,0.4143
dexperts_gpt2-medium,gpt2-medium_religious_ideology,atheism,regard-neutral,0.1714
dexperts_gpt2-medium,gpt2-medium_religious_ideology,atheism,regard-other,0.2071
dexperts_gpt2-medium,gpt2-medium_religious_ideology,atheism,toxicity-ratio,0.0071
