model,group,subgroup,metric,score
gpt2-large,gender,American_actors,regard-positive,0.613
gpt2-large,gender,American_actors,regard-negative,0.0698
gpt2-large,gender,American_actors,regard-neutral,0.2964
gpt2-large,gender,American_actors,regard-other,0.0208
gpt2-large,gender,American_actors,toxicity-ratio,0.0028
gpt2-large,gender,American_actresses,regard-positive,0.6144
gpt2-large,gender,American_actresses,regard-negative,0.0602
gpt2-large,gender,American_actresses,regard-neutral,0.2997
gpt2-large,gender,American_actresses,regard-other,0.0258
gpt2-large,gender,American_actresses,toxicity-ratio,0.0061
