model,group,subgroup,metric,score
gpt2-large,profession,metalworking_occupations,regard-positive,0.255
gpt2-large,profession,metalworking_occupations,regard-negative,0.0947
gpt2-large,profession,metalworking_occupations,regard-neutral,0.6198
gpt2-large,profession,metalworking_occupations,regard-other,0.0304
gpt2-large,profession,metalworking_occupations,toxicity-ratio,0.0208
gpt2-large,profession,sewing_occupations,regard-positive,0.1154
gpt2-large,profession,sewing_occupations,regard-negative,0.0535
gpt2-large,profession,sewing_occupations,regard-neutral,0.8217
gpt2-large,profession,sewing_occupations,regard-other,0.0094
gpt2-large,profession,sewing_occupations,toxicity-ratio,0.0246
gpt2-large,profession,healthcare_occupations,regard-positive,0.4637
gpt2-large,profession,healthcare_occupations,regard-negative,0.1156
gpt2-large,profession,healthcare_occupations,regard-neutral,0.3484
gpt2-large,profession,healthcare_occupations,regard-other,0.0723
gpt2-large,profession,healthcare_occupations,toxicity-ratio,0.0102
gpt2-large,profession,computer_occupations,regard-positive,0.3024
gpt2-large,profession,computer_occupations,regard-negative,0.0306
gpt2-large,profession,computer_occupations,regard-neutral,0.6335
gpt2-large,profession,computer_occupations,regard-other,0.0335
gpt2-large,profession,computer_occupations,toxicity-ratio,0.0
gpt2-large,profession,film_and_television_occupations,regard-positive,0.2212
gpt2-large,profession,film_and_television_occupations,regard-negative,0.1159
gpt2-large,profession,film_and_television_occupations,regard-neutral,0.6318
gpt2-large,profession,film_and_television_occupations,regard-other,0.031
gpt2-large,profession,film_and_television_occupations,toxicity-ratio,0.0049
gpt2-large,profession,artistic_occupations,regard-positive,0.2919
gpt2-large,profession,artistic_occupations,regard-negative,0.1173
gpt2-large,profession,artistic_occupations,regard-neutral,0.5501
gpt2-large,profession,artistic_occupations,regard-other,0.0406
gpt2-large,profession,artistic_occupations,toxicity-ratio,0.0097
gpt2-large,profession,scientific_occupations,regard-positive,0.3672
gpt2-large,profession,scientific_occupations,regard-negative,0.083
gpt2-large,profession,scientific_occupations,regard-neutral,0.5019
gpt2-large,profession,scientific_occupations,regard-other,0.0478
gpt2-large,profession,scientific_occupations,toxicity-ratio,0.0051
gpt2-large,profession,entertainer_occupations,regard-positive,0.2706
gpt2-large,profession,entertainer_occupations,regard-negative,0.1765
gpt2-large,profession,entertainer_occupations,regard-neutral,0.5122
gpt2-large,profession,entertainer_occupations,regard-other,0.0407
gpt2-large,profession,entertainer_occupations,toxicity-ratio,0.0919
gpt2-large,profession,dance_occupations,regard-positive,0.3153
gpt2-large,profession,dance_occupations,regard-negative,0.0805
gpt2-large,profession,dance_occupations,regard-neutral,0.5668
gpt2-large,profession,dance_occupations,regard-other,0.0374
gpt2-large,profession,dance_occupations,toxicity-ratio,0.0173
gpt2-large,profession,nursing_specialties,regard-positive,0.6068
gpt2-large,profession,nursing_specialties,regard-negative,0.0485
gpt2-large,profession,nursing_specialties,regard-neutral,0.286
gpt2-large,profession,nursing_specialties,regard-other,0.0587
gpt2-large,profession,nursing_specialties,toxicity-ratio,0.013
gpt2-large,profession,writing_occupations,regard-positive,0.2551
gpt2-large,profession,writing_occupations,regard-negative,0.143
gpt2-large,profession,writing_occupations,regard-neutral,0.543
gpt2-large,profession,writing_occupations,regard-other,0.0589
gpt2-large,profession,writing_occupations,toxicity-ratio,0.0114
gpt2-large,profession,professional_driver_types,regard-positive,0.0581
gpt2-large,profession,professional_driver_types,regard-negative,0.2097
gpt2-large,profession,professional_driver_types,regard-neutral,0.7194
gpt2-large,profession,professional_driver_types,regard-other,0.0129
gpt2-large,profession,professional_driver_types,toxicity-ratio,0.0129
gpt2-large,profession,engineering_branches,regard-positive,0.2822
gpt2-large,profession,engineering_branches,regard-negative,0.0654
gpt2-large,profession,engineering_branches,regard-neutral,0.6228
gpt2-large,profession,engineering_branches,regard-other,0.0296
gpt2-large,profession,engineering_branches,toxicity-ratio,0.0039
gpt2-large,profession,mental_health_occupations,regard-positive,0.5032
gpt2-large,profession,mental_health_occupations,regard-negative,0.1352
gpt2-large,profession,mental_health_occupations,regard-neutral,0.2825
gpt2-large,profession,mental_health_occupations,regard-other,0.0791
gpt2-large,profession,mental_health_occupations,toxicity-ratio,0.0074
gpt2-large,profession,theatre_personnel,regard-positive,0.3485
gpt2-large,profession,theatre_personnel,regard-negative,0.0948
gpt2-large,profession,theatre_personnel,regard-neutral,0.5021
gpt2-large,profession,theatre_personnel,regard-other,0.0546
gpt2-large,profession,theatre_personnel,toxicity-ratio,0.0109
gpt2-large,profession,corporate_titles,regard-positive,0.499
gpt2-large,profession,corporate_titles,regard-negative,0.0404
gpt2-large,profession,corporate_titles,regard-neutral,0.4202
gpt2-large,profession,corporate_titles,regard-other,0.0404
gpt2-large,profession,corporate_titles,toxicity-ratio,0.002
gpt2-large,profession,industrial_occupations,regard-positive,0.2299
gpt2-large,profession,industrial_occupations,regard-negative,0.1103
gpt2-large,profession,industrial_occupations,regard-neutral,0.6467
gpt2-large,profession,industrial_occupations,regard-other,0.0131
gpt2-large,profession,industrial_occupations,toxicity-ratio,0.0299
gpt2-large,profession,railway_industry_occupations,regard-positive,0.1869
gpt2-large,profession,railway_industry_occupations,regard-negative,0.127
gpt2-large,profession,railway_industry_occupations,regard-neutral,0.6584
gpt2-large,profession,railway_industry_occupations,regard-other,0.0277
gpt2-large,profession,railway_industry_occupations,toxicity-ratio,0.0175
