model,group,subgroup,metric,score
gpt2-medium,40_profession,metalworking_occupations,regard-positive,0.2512
gpt2-medium,40_profession,metalworking_occupations,regard-negative,0.0957
gpt2-medium,40_profession,metalworking_occupations,regard-neutral,0.6256
gpt2-medium,40_profession,metalworking_occupations,regard-other,0.0275
gpt2-medium,40_profession,metalworking_occupations,toxicity-ratio,0.015
gpt2-medium,40_profession,sewing_occupations,regard-positive,0.1292
gpt2-medium,40_profession,sewing_occupations,regard-negative,0.0552
gpt2-medium,40_profession,sewing_occupations,regard-neutral,0.8029
gpt2-medium,40_profession,sewing_occupations,regard-other,0.0128
gpt2-medium,40_profession,sewing_occupations,toxicity-ratio,0.0154
gpt2-medium,40_profession,healthcare_occupations,regard-positive,0.4678
gpt2-medium,40_profession,healthcare_occupations,regard-negative,0.1243
gpt2-medium,40_profession,healthcare_occupations,regard-neutral,0.3416
gpt2-medium,40_profession,healthcare_occupations,regard-other,0.0663
gpt2-medium,40_profession,healthcare_occupations,toxicity-ratio,0.0105
gpt2-medium,40_profession,computer_occupations,regard-positive,0.3005
gpt2-medium,40_profession,computer_occupations,regard-negative,0.0555
gpt2-medium,40_profession,computer_occupations,regard-neutral,0.6144
gpt2-medium,40_profession,computer_occupations,regard-other,0.0297
gpt2-medium,40_profession,computer_occupations,toxicity-ratio,0.001
gpt2-medium,40_profession,film_and_television_occupations,regard-positive,0.2318
gpt2-medium,40_profession,film_and_television_occupations,regard-negative,0.1012
gpt2-medium,40_profession,film_and_television_occupations,regard-neutral,0.6335
gpt2-medium,40_profession,film_and_television_occupations,regard-other,0.0335
gpt2-medium,40_profession,film_and_television_occupations,toxicity-ratio,0.0057
gpt2-medium,40_profession,artistic_occupations,regard-positive,0.2998
gpt2-medium,40_profession,artistic_occupations,regard-negative,0.1182
gpt2-medium,40_profession,artistic_occupations,regard-neutral,0.54
gpt2-medium,40_profession,artistic_occupations,regard-other,0.042
gpt2-medium,40_profession,artistic_occupations,toxicity-ratio,0.0097
gpt2-medium,40_profession,scientific_occupations,regard-positive,0.3648
gpt2-medium,40_profession,scientific_occupations,regard-negative,0.0883
gpt2-medium,40_profession,scientific_occupations,regard-neutral,0.4903
gpt2-medium,40_profession,scientific_occupations,regard-other,0.0566
gpt2-medium,40_profession,scientific_occupations,toxicity-ratio,0.0053
gpt2-medium,40_profession,entertainer_occupations,regard-positive,0.2525
gpt2-medium,40_profession,entertainer_occupations,regard-negative,0.1964
gpt2-medium,40_profession,entertainer_occupations,regard-neutral,0.5077
gpt2-medium,40_profession,entertainer_occupations,regard-other,0.0434
gpt2-medium,40_profession,entertainer_occupations,toxicity-ratio,0.0878
gpt2-medium,40_profession,dance_occupations,regard-positive,0.3134
gpt2-medium,40_profession,dance_occupations,regard-negative,0.0936
gpt2-medium,40_profession,dance_occupations,regard-neutral,0.5588
gpt2-medium,40_profession,dance_occupations,regard-other,0.0342
gpt2-medium,40_profession,dance_occupations,toxicity-ratio,0.0173
