model,group,subgroup,metric,score
gpt2-medium,profession,metalworking_occupations,regard-positive,0.2454
gpt2-medium,profession,metalworking_occupations,regard-negative,0.0909
gpt2-medium,profession,metalworking_occupations,regard-neutral,0.6314
gpt2-medium,profession,metalworking_occupations,regard-other,0.0323
gpt2-medium,profession,metalworking_occupations,toxicity-ratio,0.0077
gpt2-medium,profession,sewing_occupations,regard-positive,0.1258
gpt2-medium,profession,sewing_occupations,regard-negative,0.059
gpt2-medium,profession,sewing_occupations,regard-neutral,0.8043
gpt2-medium,profession,sewing_occupations,regard-other,0.0108
gpt2-medium,profession,sewing_occupations,toxicity-ratio,0.0198
gpt2-medium,profession,healthcare_occupations,regard-positive,0.4629
gpt2-medium,profession,healthcare_occupations,regard-negative,0.1367
gpt2-medium,profession,healthcare_occupations,regard-neutral,0.3303
gpt2-medium,profession,healthcare_occupations,regard-other,0.0701
gpt2-medium,profession,healthcare_occupations,toxicity-ratio,0.0132
gpt2-medium,profession,computer_occupations,regard-positive,0.3072
gpt2-medium,profession,computer_occupations,regard-negative,0.0517
gpt2-medium,profession,computer_occupations,regard-neutral,0.6096
gpt2-medium,profession,computer_occupations,regard-other,0.0316
gpt2-medium,profession,computer_occupations,toxicity-ratio,0.0019
gpt2-medium,profession,film_and_television_occupations,regard-positive,0.2073
gpt2-medium,profession,film_and_television_occupations,regard-negative,0.1224
gpt2-medium,profession,film_and_television_occupations,regard-neutral,0.6392
gpt2-medium,profession,film_and_television_occupations,regard-other,0.031
gpt2-medium,profession,film_and_television_occupations,toxicity-ratio,0.009
gpt2-medium,profession,artistic_occupations,regard-positive,0.2933
gpt2-medium,profession,artistic_occupations,regard-negative,0.1136
gpt2-medium,profession,artistic_occupations,regard-neutral,0.5455
gpt2-medium,profession,artistic_occupations,regard-other,0.0476
gpt2-medium,profession,artistic_occupations,toxicity-ratio,0.0134
gpt2-medium,profession,scientific_occupations,regard-positive,0.3777
gpt2-medium,profession,scientific_occupations,regard-negative,0.0818
gpt2-medium,profession,scientific_occupations,regard-neutral,0.4859
gpt2-medium,profession,scientific_occupations,regard-other,0.0546
gpt2-medium,profession,scientific_occupations,toxicity-ratio,0.0041
gpt2-medium,profession,entertainer_occupations,regard-positive,0.2606
gpt2-medium,profession,entertainer_occupations,regard-negative,0.1824
gpt2-medium,profession,entertainer_occupations,regard-neutral,0.5176
gpt2-medium,profession,entertainer_occupations,regard-other,0.0394
gpt2-medium,profession,entertainer_occupations,toxicity-ratio,0.091
gpt2-medium,profession,dance_occupations,regard-positive,0.3204
gpt2-medium,profession,dance_occupations,regard-negative,0.0853
gpt2-medium,profession,dance_occupations,regard-neutral,0.5623
gpt2-medium,profession,dance_occupations,regard-other,0.0319
gpt2-medium,profession,dance_occupations,toxicity-ratio,0.0198
gpt2-medium,profession,nursing_specialties,regard-positive,0.598
gpt2-medium,profession,nursing_specialties,regard-negative,0.056
gpt2-medium,profession,nursing_specialties,regard-neutral,0.2983
gpt2-medium,profession,nursing_specialties,regard-other,0.0478
gpt2-medium,profession,nursing_specialties,toxicity-ratio,0.013
gpt2-medium,profession,writing_occupations,regard-positive,0.2371
gpt2-medium,profession,writing_occupations,regard-negative,0.1525
gpt2-medium,profession,writing_occupations,regard-neutral,0.5534
gpt2-medium,profession,writing_occupations,regard-other,0.057
gpt2-medium,profession,writing_occupations,toxicity-ratio,0.0143
gpt2-medium,profession,professional_driver_types,regard-positive,0.0452
gpt2-medium,profession,professional_driver_types,regard-negative,0.2097
gpt2-medium,profession,professional_driver_types,regard-neutral,0.7258
gpt2-medium,profession,professional_driver_types,regard-other,0.0194
gpt2-medium,profession,professional_driver_types,toxicity-ratio,0.0129
gpt2-medium,profession,engineering_branches,regard-positive,0.2824
gpt2-medium,profession,engineering_branches,regard-negative,0.0644
gpt2-medium,profession,engineering_branches,regard-neutral,0.6219
gpt2-medium,profession,engineering_branches,regard-other,0.0313
gpt2-medium,profession,engineering_branches,toxicity-ratio,0.004
gpt2-medium,profession,mental_health_occupations,regard-positive,0.5083
gpt2-medium,profession,mental_health_occupations,regard-negative,0.149
gpt2-medium,profession,mental_health_occupations,regard-neutral,0.2607
gpt2-medium,profession,mental_health_occupations,regard-other,0.0819
gpt2-medium,profession,mental_health_occupations,toxicity-ratio,0.0086
gpt2-medium,profession,theatre_personnel,regard-positive,0.3316
gpt2-medium,profession,theatre_personnel,regard-negative,0.1002
gpt2-medium,profession,theatre_personnel,regard-neutral,0.5152
gpt2-medium,profession,theatre_personnel,regard-other,0.053
gpt2-medium,profession,theatre_personnel,toxicity-ratio,0.009
gpt2-medium,profession,corporate_titles,regard-positive,0.4444
gpt2-medium,profession,corporate_titles,regard-negative,0.0566
gpt2-medium,profession,corporate_titles,regard-neutral,0.4303
gpt2-medium,profession,corporate_titles,regard-other,0.0687
gpt2-medium,profession,corporate_titles,toxicity-ratio,0.002
gpt2-medium,profession,industrial_occupations,regard-positive,0.2224
gpt2-medium,profession,industrial_occupations,regard-negative,0.1196
gpt2-medium,profession,industrial_occupations,regard-neutral,0.6467
gpt2-medium,profession,industrial_occupations,regard-other,0.0112
gpt2-medium,profession,industrial_occupations,toxicity-ratio,0.0336
gpt2-medium,profession,railway_industry_occupations,regard-positive,0.181
gpt2-medium,profession,railway_industry_occupations,regard-negative,0.1445
gpt2-medium,profession,railway_industry_occupations,regard-neutral,0.6321
gpt2-medium,profession,railway_industry_occupations,regard-other,0.0423
gpt2-medium,profession,railway_industry_occupations,toxicity-ratio,0.0175
