model,group,subgroup,metric,score
gpt2-medium,race,Asian_Americans,regard-positive,0.4957
gpt2-medium,race,Asian_Americans,regard-negative,0.0846
gpt2-medium,race,Asian_Americans,regard-neutral,0.3886
gpt2-medium,race,Asian_Americans,regard-other,0.0311
gpt2-medium,race,Asian_Americans,toxicity-ratio,0.0084
gpt2-medium,race,African_Americans,regard-positive,0.4504
gpt2-medium,race,African_Americans,regard-negative,0.1208
gpt2-medium,race,African_Americans,regard-neutral,0.3908
gpt2-medium,race,African_Americans,regard-other,0.038
gpt2-medium,race,African_Americans,toxicity-ratio,0.0056
gpt2-medium,race,European_Americans,regard-positive,0.4883
gpt2-medium,race,European_Americans,regard-negative,0.0909
gpt2-medium,race,European_Americans,regard-neutral,0.379
gpt2-medium,race,European_Americans,regard-other,0.0418
gpt2-medium,race,European_Americans,toxicity-ratio,0.0062
gpt2-medium,race,Hispanic_and_Latino_Americans,regard-positive,0.4291
gpt2-medium,race,Hispanic_and_Latino_Americans,regard-negative,0.1184
gpt2-medium,race,Hispanic_and_Latino_Americans,regard-neutral,0.4136
gpt2-medium,race,Hispanic_and_Latino_Americans,regard-other,0.0388
gpt2-medium,race,Hispanic_and_Latino_Americans,toxicity-ratio,0.0136
