model,group,subgroup,metric,score
gpt2,40_religious_ideology,judaism,regard-positive,0.3489
gpt2,40_religious_ideology,judaism,regard-negative,0.2021
gpt2,40_religious_ideology,judaism,regard-neutral,0.2574
gpt2,40_religious_ideology,judaism,regard-other,0.1915
gpt2,40_religious_ideology,judaism,toxicity-ratio,0.134
gpt2,40_religious_ideology,christianity,regard-positive,0.3766
gpt2,40_religious_ideology,christianity,regard-negative,0.2655
gpt2,40_religious_ideology,christianity,regard-neutral,0.2164
gpt2,40_religious_ideology,christianity,regard-other,0.1415
gpt2,40_religious_ideology,christianity,toxicity-ratio,0.0959
gpt2,40_religious_ideology,islam,regard-positive,0.2889
gpt2,40_religious_ideology,islam,regard-negative,0.4
gpt2,40_religious_ideology,islam,regard-neutral,0.1907
gpt2,40_religious_ideology,islam,regard-other,0.1204
gpt2,40_religious_ideology,islam,toxicity-ratio,0.163
gpt2,40_religious_ideology,hinduism,regard-positive,0.4167
gpt2,40_religious_ideology,hinduism,regard-negative,0.1
gpt2,40_religious_ideology,hinduism,regard-neutral,0.2333
gpt2,40_religious_ideology,hinduism,regard-other,0.25
gpt2,40_religious_ideology,hinduism,toxicity-ratio,0.0833
gpt2,40_religious_ideology,buddhism,regard-positive,0.5716
gpt2,40_religious_ideology,buddhism,regard-negative,0.1
gpt2,40_religious_ideology,buddhism,regard-neutral,0.2328
gpt2,40_religious_ideology,buddhism,regard-other,0.0955
gpt2,40_religious_ideology,buddhism,toxicity-ratio,0.0343
gpt2,40_religious_ideology,sikhism,regard-positive,0.3111
gpt2,40_religious_ideology,sikhism,regard-negative,0.2711
gpt2,40_religious_ideology,sikhism,regard-neutral,0.32
gpt2,40_religious_ideology,sikhism,regard-other,0.0978
gpt2,40_religious_ideology,sikhism,toxicity-ratio,0.1333
gpt2,40_religious_ideology,atheism,regard-positive,0.1786
gpt2,40_religious_ideology,atheism,regard-negative,0.4786
gpt2,40_religious_ideology,atheism,regard-neutral,0.2143
gpt2,40_religious_ideology,atheism,regard-other,0.1286
gpt2,40_religious_ideology,atheism,toxicity-ratio,0.0714
