model,group,subgroup,metric,score
gpt2,profession,metalworking_occupations,regard-positive,0.2538
gpt2,profession,metalworking_occupations,regard-negative,0.1066
gpt2,profession,metalworking_occupations,regard-neutral,0.6038
gpt2,profession,metalworking_occupations,regard-other,0.0358
gpt2,profession,metalworking_occupations,toxicity-ratio,0.0186
gpt2,profession,sewing_occupations,regard-positive,0.1255
gpt2,profession,sewing_occupations,regard-negative,0.0552
gpt2,profession,sewing_occupations,regard-neutral,0.8014
gpt2,profession,sewing_occupations,regard-other,0.0178
gpt2,profession,sewing_occupations,toxicity-ratio,0.02
gpt2,profession,healthcare_occupations,regard-positive,0.4328
gpt2,profession,healthcare_occupations,regard-negative,0.1367
gpt2,profession,healthcare_occupations,regard-neutral,0.3525
gpt2,profession,healthcare_occupations,regard-other,0.078
gpt2,profession,healthcare_occupations,toxicity-ratio,0.0102
gpt2,profession,computer_occupations,regard-positive,0.288
gpt2,profession,computer_occupations,regard-negative,0.0517
gpt2,profession,computer_occupations,regard-neutral,0.6211
gpt2,profession,computer_occupations,regard-other,0.0392
gpt2,profession,computer_occupations,toxicity-ratio,0.0019
gpt2,profession,film_and_television_occupations,regard-positive,0.2351
gpt2,profession,film_and_television_occupations,regard-negative,0.1159
gpt2,profession,film_and_television_occupations,regard-neutral,0.6171
gpt2,profession,film_and_television_occupations,regard-other,0.0318
gpt2,profession,film_and_television_occupations,toxicity-ratio,0.0033
gpt2,profession,artistic_occupations,regard-positive,0.3229
gpt2,profession,artistic_occupations,regard-negative,0.1169
gpt2,profession,artistic_occupations,regard-neutral,0.5187
gpt2,profession,artistic_occupations,regard-other,0.0416
gpt2,profession,artistic_occupations,toxicity-ratio,0.012
gpt2,profession,scientific_occupations,regard-positive,0.3604
gpt2,profession,scientific_occupations,regard-negative,0.0908
gpt2,profession,scientific_occupations,regard-neutral,0.4954
gpt2,profession,scientific_occupations,regard-other,0.0534
gpt2,profession,scientific_occupations,toxicity-ratio,0.0041
gpt2,profession,entertainer_occupations,regard-positive,0.2525
gpt2,profession,entertainer_occupations,regard-negative,0.1738
gpt2,profession,entertainer_occupations,regard-neutral,0.519
gpt2,profession,entertainer_occupations,regard-other,0.0548
gpt2,profession,entertainer_occupations,toxicity-ratio,0.0968
gpt2,profession,dance_occupations,regard-positive,0.3332
gpt2,profession,dance_occupations,regard-negative,0.0965
gpt2,profession,dance_occupations,regard-neutral,0.5288
gpt2,profession,dance_occupations,regard-other,0.0415
gpt2,profession,dance_occupations,toxicity-ratio,0.0214
gpt2,profession,nursing_specialties,regard-positive,0.5693
gpt2,profession,nursing_specialties,regard-negative,0.0669
gpt2,profession,nursing_specialties,regard-neutral,0.2983
gpt2,profession,nursing_specialties,regard-other,0.0655
gpt2,profession,nursing_specialties,toxicity-ratio,0.013
gpt2,profession,writing_occupations,regard-positive,0.2589
gpt2,profession,writing_occupations,regard-negative,0.162
gpt2,profession,writing_occupations,regard-neutral,0.5235
gpt2,profession,writing_occupations,regard-other,0.0556
gpt2,profession,writing_occupations,toxicity-ratio,0.0143
gpt2,profession,professional_driver_types,regard-positive,0.0806
gpt2,profession,professional_driver_types,regard-negative,0.2484
gpt2,profession,professional_driver_types,regard-neutral,0.6548
gpt2,profession,professional_driver_types,regard-other,0.0161
gpt2,profession,professional_driver_types,toxicity-ratio,0.0032
gpt2,profession,engineering_branches,regard-positive,0.2883
gpt2,profession,engineering_branches,regard-negative,0.0713
gpt2,profession,engineering_branches,regard-neutral,0.6107
gpt2,profession,engineering_branches,regard-other,0.0297
gpt2,profession,engineering_branches,toxicity-ratio,0.0044
gpt2,profession,mental_health_occupations,regard-positive,0.4734
gpt2,profession,mental_health_occupations,regard-negative,0.1427
gpt2,profession,mental_health_occupations,regard-neutral,0.2957
gpt2,profession,mental_health_occupations,regard-other,0.0883
gpt2,profession,mental_health_occupations,toxicity-ratio,0.0103
gpt2,profession,theatre_personnel,regard-positive,0.3451
gpt2,profession,theatre_personnel,regard-negative,0.1038
gpt2,profession,theatre_personnel,regard-neutral,0.5033
gpt2,profession,theatre_personnel,regard-other,0.0477
gpt2,profession,theatre_personnel,toxicity-ratio,0.0128
gpt2,profession,corporate_titles,regard-positive,0.4465
gpt2,profession,corporate_titles,regard-negative,0.0545
gpt2,profession,corporate_titles,regard-neutral,0.4424
gpt2,profession,corporate_titles,regard-other,0.0566
gpt2,profession,corporate_titles,toxicity-ratio,0.0
gpt2,profession,industrial_occupations,regard-positive,0.1869
gpt2,profession,industrial_occupations,regard-negative,0.114
gpt2,profession,industrial_occupations,regard-neutral,0.6654
gpt2,profession,industrial_occupations,regard-other,0.0336
gpt2,profession,industrial_occupations,toxicity-ratio,0.043
gpt2,profession,railway_industry_occupations,regard-positive,0.1942
gpt2,profession,railway_industry_occupations,regard-negative,0.162
gpt2,profession,railway_industry_occupations,regard-neutral,0.6161
gpt2,profession,railway_industry_occupations,regard-other,0.0277
gpt2,profession,railway_industry_occupations,toxicity-ratio,0.0219
