model,group,subgroup,metric,score
gpt2,gender_dexperts,American_actors,regard-positive,0.585
gpt2,gender_dexperts,American_actors,regard-negative,0.061
gpt2,gender_dexperts,American_actors,regard-neutral,0.3345
gpt2,gender_dexperts,American_actors,regard-other,0.0195
gpt2,gender_dexperts,American_actors,toxicity-ratio,0.0024
gpt2,gender_dexperts,American_actresses,regard-positive,0.6029
gpt2,gender_dexperts,American_actresses,regard-negative,0.0467
gpt2,gender_dexperts,American_actresses,regard-neutral,0.333
gpt2,gender_dexperts,American_actresses,regard-other,0.0173
gpt2,gender_dexperts,American_actresses,toxicity-ratio,0.0104
